Suburb,Month of Dates,Occupancy Percent
Deception Bay,May-22,62.27
Deception Bay,Apr-22,64.08
Deception Bay,Mar-22,51.21
Deception Bay,Feb-22,46.88
Deception Bay,Jan-22,61.39
Deception Bay,Dec-21,49.46
Deception Bay,Nov-21,33.8
Deception Bay,Oct-21,52.56
Deception Bay,Sep-21,44.65
Deception Bay,Aug-21,44.44
Deception Bay,Jul-21,45.26
Delaneys Creek,Jul-23,46.77
Delaneys Creek,Jun-23,45.16
Delaneys Creek,May-23,46.77
Delaneys Creek,Apr-23,35.71
Delaneys Creek,Mar-23,29.03
Delaneys Creek,Feb-23,29.76
Delaneys Creek,Jan-23,35.56
Delaneys Creek,Dec-22,51.25
Delaneys Creek,Nov-22,27.78
Delaneys Creek,Oct-22,96.77
Delaneys Creek,Sep-22,85.25
Delaneys Creek,Aug-22,51.61
Delaneys Creek,Jul-22,58.75
Delaneys Creek,Jun-22,98.33
Delaneys Creek,May-22,83.87
Delaneys Creek,Apr-22,97.44
Delaneys Creek,Mar-22,95.12
Delaneys Creek,Feb-22,96.43
Delaneys Creek,Jan-22,96.77
Delaneys Creek,Dec-21,94.83
Delaneys Creek,Nov-21,88.33
Delaneys Creek,Oct-21,70.97
Delaneys Creek,Sep-21,68.33
Delaneys Creek,Aug-21,69.35
Delaneys Creek,Jul-21,83.87
Donnybrook,Jul-23,51.61
Donnybrook,Jun-23,43.33
Donnybrook,May-23,12.9
Donnybrook,Apr-23,66.67
Donnybrook,Mar-23,41.94
Donnybrook,Feb-23,48.21
Donnybrook,Jan-23,79.03
Donnybrook,Dec-22,67.74
Donnybrook,Nov-22,46.67
Donnybrook,Oct-22,54.1
Donnybrook,Sep-22,50.85
Donnybrook,Aug-22,38.78
Donnybrook,Jul-22,32.26
Donnybrook,Jun-22,23.33
Donnybrook,May-22,48.39
Donnybrook,Apr-22,80
Donnybrook,Mar-22,32.26
Donnybrook,Feb-22,18.18
Donnybrook,Jan-22,43.55
Donnybrook,Dec-21,29.03
Donnybrook,Nov-21,23.33
Donnybrook,Oct-21,22.58
Donnybrook,Sep-21,20
Donnybrook,Aug-21,6.45
Donnybrook,Jul-21,0
Draper,Jul-23,87.1
Draper,Jun-23,66.67
Draper,May-23,41.94
Draper,Apr-23,13.33
Draper,Mar-23,0
Eatons Hill,Jul-23,43.66
Eatons Hill,Jun-23,23.36
Eatons Hill,May-23,16.49
Eatons Hill,Apr-23,40.37
Eatons Hill,Mar-23,48.39
Eatons Hill,Feb-23,38.1
Eatons Hill,Jan-23,46.15
Eatons Hill,Dec-22,41.98
Eatons Hill,Nov-22,54.44
Eatons Hill,Oct-22,53.76
Eatons Hill,Sep-22,60
Eatons Hill,Aug-22,60.22
Eatons Hill,Jul-22,72.04
Eatons Hill,Jun-22,65.56
Eatons Hill,May-22,52.69
Eatons Hill,Apr-22,31.67
Eatons Hill,Mar-22,13.71
Eatons Hill,Feb-22,19.64
Eatons Hill,Jan-22,47.58
Eatons Hill,Dec-21,37.1
Eatons Hill,Nov-21,17.5
Eatons Hill,Oct-21,37.3
Eatons Hill,Sep-21,19.58
Eatons Hill,Aug-21,2.58
